Name of the hospital*,Latitude*,Longitude*,District*,Address,PinCode*,Phone Number
Nanjappa Life Care,13.9466527,75.5331031,Shivamogga,Nanjappa Life Care 5619 Gadikoppa Sagar Road Shimoga 577205,577205,
Subbaaiah Medical College Hospital,13.9329382,75.6149833,Shivamogga,Subbaaiah Medical College Hospital Nh 13 Purle Shimoga 577222,577222,
Malnad Institute Of Oncology,13.8876096,75.6398982,Shivamogga,Malnad Institute Of Oncology 9 Th Mile Stone B H Road Opp Bidare Bus Stop Nidige Post Shimoga 577222,577222,
Nayana Hospital,13.8888034,75.5658814,Shivamogga,Tarikere Road Bhadravathi,577301,
Durga Nursing Home,13.8430562,75.6924577,Shivamogga,B H Road Bhadravathi,577301,
Bhadra Nursing Home,13.8482302,75.7063291,Shivamogga,Bhadra Nursing Home Gandhi Nagar Old Town Gandhinagar Bhadravathi 577301,577301,
Nirmala Hospital,13.8517639,75.7015857,Shivamogga,Taluk Office Road Old Town,577301,
Anuradha Nursing Home,13.6957568,75.241878,Shivamogga,Anuradha Nursing Home Soppugudde Raghavendra Extension Thirthahalli 577432,577432,
Swami Vivekananda Integrated Rural Health CentreShree Sharadadevi Eye Hospital,14.0899951,77.2819975,Tumakuru,Swami Vivekananda Integrated Rural Health CentreShree Sharadadevi Eye Hospital Swami Vivekananda Nagara Pavagada Tumkur 561202,561202,
Sri Sai Nethralaya And Dental Care,12.9430444,77.5373178,Tumakuru,1St Cross Ramajoyish NagarOpp Sbi Bank Kunigal Road Tumkur,572101,
Madilu Childrens Hospital,13.3398786,77.1088807,Tumakuru,4th main Opp NEPS police station near pruthvi hotel shankara puram bh road tumkur,572101,
Surya Hospital,13.3396065,77.0973302,Tumakuru,1st Main Vinayakanagar Tumkur,572101,
Mookambika Modi Eye Hospital,13.3405075,77.1084022,Tumakuru,Mookambika Modi Eye Hospital 3Rd Main Behind Dodda Mane Nursing Home Shankarpuram B H Road Tumkur 572102,572102,
Tumkur Speciality Hospital,13.3386687,77.1015809,Tumakuru,Tumkur Speciality Hospital 4Th Cross KR Extension Barline Road Tumkur 572102,572102,
Ganadal Ent And Dental Hospital,13.3317232,77.1090103,Tumakuru,Ganadal Ent And Dental Hospital 3Rd Cross Puram Tumkur 572102,572102,
Kaushal Dental Care,13.329758,77.1275773,Tumakuru,Kaushal Dental Care Opp To Dominos Pizza Hut BatawadiTumkur 572103,572103,
Shridevi Institute Of Medical Sciences,13.376026,77.0925192,Tumakuru,Shridevi Institute Of Medical Sciences Nh4 Sira Road Tumkur 572106,572106,
Secretary Sri Siddartha Acadamy Of Higher Education,13.3337205,76.950626,Tumakuru,Agalakote Tumakur B H Road,572107,
Mm Multispeciality Hospital,13.0207587,77.013451,Tumakuru,Mm Multispeciality Hospital Krs Agrahara Bm Road Kunigal 572130,572130,
Raghu Hospital,13.5387717,76.8700786,Tumakuru,Balajinagara Sira Tumkur,572137,
Sharada Hospital For Mother and child,13.7441988,76.8837831,Tumakuru,Sharada Hospital For Mother And Child Peshumam Mohalla Nh4 Road Sira 572137,572137,
Swathi Hospital,13.7419488,76.8993053,Tumakuru,Swathi Hospital Gandhi Nagar Near Canara Bank Road Sira 572137,572137,
Shri Vijaya Nursing Home,13.2597262,76.4770623,Tumakuru,Shri Vijaya Nursing Home Near Aralikatte B H Road Tiptur 572201,572201,
Kumar hospital,13.7447494,76.6211453,Tumakuru,Kumar Hospital Mst Road Tiptur,572201,
Mudra hospital,13.2623888,76.467988,Tumakuru,KR Extension 3 Rd Main Road Tiptur,572201,
Chiranjeevi Nursing Home,13.1001062,76.7317936,Tumakuru,Chiranjeevi Nursing Home B H Road Tiptur 572201,572201,
Sri Sai Ganga Nursing Home,13.376484,76.583614,Tumakuru,Jagajeevan Ram Nagara C H Halli Taluk Tumkur District,572214,
Spandana Nursing Home,13.3352601,77.1158896,Tumakuru,Spandana Nursing Home Dr Rajkumar Road Huliyar Chikkanayakanahalli 572218,572218,
Sakshya Eye Care And Dental Hospital,13.5841214,76.5500307,Tumakuru,Sakshya Eye Care And Dental Hospital Nanjapp Complex Opp Apmc Yard Huliyar 572218,572218,
Spandana Hospital Karkala,13.211259,74.9951622,Udupi,Spandana Hospital Karkala Manglore Road Karkala 574104,574104,
Nitte Gajria Speciality Hospital,13.2256643,75.0130113,Udupi,Nitte Gajria Speciality Hospital Tellar Road Karkala 574104,574104,
PRASAD NETRALAYA,13.3391478,74.7446164,Udupi,A J ALSE ROAD BEHIND ALANKAR THEATRE UDUPI,576101,
New City Hospital,13.3383727,74.7428816,Udupi,New City Hospital Opp Shanieshwara Temple Vidyaranya Marg Kadabettu Udupi 576101,576101,
Mitra Hospital,13.336949,74.7483091,Udupi,Mitra Hospital Mitra Priya Old Post Office Road Udupi576101,576101,
Adarsha Hospital,13.3400299,74.7452111,Udupi,Adarsha Hospital Near Ksrtc Bus Stand Udupi 576101,576101,
Manjunatha Eye Hospital,13.6363859,74.9773709,Udupi,Manjunatha Eye Hospital Bannanje Road Udupi 576101,576101,
Dr TMA Pai Hospital Udupi,13.33252,74.7449573,Udupi,Court Rd opp Taluk Office Brahmagiri Udupi 576101,576101,
Sunag Ortho Care and Multispeciality Centre,13.3340464,74.7429981,Udupi,Sunag Ortho Care and Multispeciality Centre Opp MGM Collage Road Kunjibettu Udupi 576102,576102,
Hitech Medicare Hospital,13.4354746,74.7096238,Udupi,Hitech Medicare Hospital Nh 66Ambalpady Udupi576103,576103,
Kasturba Hospital,13.3538312,74.7889979,Udupi,Kasturba Hospital Post Box No 7 Madhav Nagar Manipal Udupi 576104,576104,
Adarsha Hospital Kundapura,13.4776943,74.5810082,Udupi,NH 66 Kundapura Udupi,576201,
Sri Devi Hospital,13.473393,75.0730236,Udupi,Sri Devi Hospital Near Gandi Park Vaderhobli A K G Road Kundapura 576201,576201,
Chinmayi Hospital,13.6288376,74.6870215,Udupi,Chinmayi Hospital Church Road Kundapura 576201,576201,
Sri Manjunatha Hospital,13.6320234,74.6876657,Udupi,Sri Manjunatha Hospital Main Road Kundapura Udupi 576201,576201,
Sri Matha Hospital,14.4520389,74.4157479,Udupi,Sri Matha Hospital Church Road Kundapura 576201,576201,
Vivek Hospital,13.6142584,74.6922898,Udupi,Kundapur Murkai Voderhobli Kundapura Udupi 576201,576201,
Pranav Hospital,13.4416477,74.7408643,Udupi,Pranav Hospital Near Handady Gram Panchayat Handady Brahmavar Udupi 576213,576213,
Mahesh Hospital,13.4319345,74.7409146,Udupi,Mahesh Hospital Nh 66 Varamballi Village Brahmavara Post Udupi 576 213,576213,
Dr N R Acharya Memorial Hospital,13.5909523,74.6952113,Udupi,Dr N R Acharya Memorial Hospital Nh66 Koteshwara Kundapura Taluk Udupi 576222,576222,
Surgeons Hospital,13.6021943,74.6922023,Udupi,Surgeons Hospital Ankadakatte Koteshwara Post And Vil Kundapura Tq Udupi 576222,576222,
St Ignatius Hospital,14.2871098,74.4512899,Uttara Kannada,St Ignatius Hospital Prabhat Nagar Honnavar Uttara Kannada 571334,581334,
Sridevimultispeciality Hospital,14.2820054,74.4366034,Uttara Kannada,Sridevimultispeciality Hospital Bunder Road Honavar Uttar Kannada 581334,581334,
Dr V K B Balkur Memorial Hospital,14.2800212,74.4459266,Uttara Kannada,Prabhat Road Honnavar Uttara Kannada 581334,581334,
Shri Sharada Nursing Home,14.2984582,74.4331292,Uttara Kannada,Shri Sharada Nursing Home Matadakeri Karki Honavar Uttara Kannada 581341,581341,
Dr Janu Mankikars Maternity And Nursing Home,14.4247491,74.406125,Uttara Kannada,Subhas Road Opposite State Bank Of Mysore Kumta Dist Uttara Kannada 581343,581343,
Achut Pandit Hospital,14.4269703,74.4072243,Uttara Kannada,Achut Pandit Hospital Kumbheshwar Temple Road Kumta 581343,581343,
Canara Health Care Centre,14.4187938,74.4145293,Uttara Kannada,Canara Health Care Centre Baggon Road Kumta Uttar Kannada 581343,581343,
Ramleela Hospital,14.4392385,74.4300419,Uttara Kannada,Ramleela Hospital Maternity Home Nh 66 Gandhi Nagar Kumta Uttar Kannada 581343,581343,
24 7 Hi Tech Life Line,14.4292779,74.4133361,Uttara Kannada,24 7 Hi Tech Life Line Kumta Uttarakannada 581343,581343,
RNS Hospital Murudeshwar,14.0957601,74.5019281,Uttara Kannada,Rns Hospital Murudeshwar NH 66 Murudeshwar Bhatkal Taluk Bhatkala Uttar Kannada 581350,581350,
SAI NETRALAYA,14.9643049,74.7098048,Uttara Kannada,BASAVESHWARA COMPLEX BASAVESHWARA CIRCLE BUS STAND ROAD YELLAPUR U K DISTRICT,581359,
Vishwa Seva Samitis Rotary Charitable Hospital,14.6227132,74.8297798,Uttara Kannada,Vishwa Seva Samitis Rotary Charitable Hospital Court Road Sirsi Uttara Kannada 581401,581401,
Tss Shripad Hegde Kadave Institute Of Medical Scie,14.6322527,74.8462691,Uttara Kannada,College Road Sirsi Uttara Kannada 581402,581402,
Akki Hospital,16.8255167,75.6820383,Vijayapura,Akki Hospital Bhairav Nagar Near Swatantra Yodhar Colony Athani Road Vijayapur 583102,583102,
Mahaldar Children Hospital,16.8268418,75.7100744,Vijayapura,Mahaldar Children Hospital Jamkahane Street Meenaxi Circle Vijayapur Bijapur 586101,586101,
Hussain Multispeciality Hospital,16.8415385,75.7048538,Vijayapura,Hussain Multispeciality Hospital Manas Residency Darga Cross Jail Road Sholapur Road Bijapur 586101,586101,
Dr Munir Bangi Hospital,16.8233344,75.7277928,Vijayapura,Dr Munir Bangi Hospital No 20 Doulat Koti Road Near Jamiya Masjid Bijapur 586101,586101,
Kembhavi Eye Hospital,16.8298636,75.7070975,Vijayapura,Kembhavi Eye Hospital Shivaji Circle Bijapur 586101,586101,
Basanagouda Patil Sunag Memorial Hospital,16.8296599,75.7104704,Vijayapura,New Vittal Mandir Road Bijapur,586101,
Luqman Unani Medical College Hospital,16.8431959,75.7102725,Vijayapura,12 Naubag Vijayapur 586101,586101,
Korbu Womens Care Hospital,16.8239088,75.7100335,Vijayapura,Korbu Womens Care Hospital Near Secab School behind Bus stand Vijayapur,586101,
Anugraha Eye Hospital,16.8244574,75.7101774,Vijayapura,Anugraha Eye Hospital Navabhag Main Road Behind Central Bus Stand Near Secab College Bijapur 586101,586101,
Vasudev Hospitals Pvt Ltd,16.8285395,75.709419,Vijayapura,Vasudev Hospitals Pvt Ltd Desai Chawl Meenaxi Chouk Bijapur 586101,586101,
Yashoda Hospital,16.8473084,75.7079377,Vijayapura,KHB Complex Solapur Road Bijapur,586101,
Mathoshree Hospital,16.8437634,75.6921304,Vijayapura,Mathoshree Hospital Desai Chawl Meenaxi Chouk Vijayapur 586101,586101,
Patil Multispeciality Hospital,16.8277341,75.7100684,Vijayapura,menaxi chowk Vijayapura,586101,
Sparsha Multispeciality Hospital,16.8331728,75.6766939,Vijayapura,Opp Sainik School 2 nd Gate Athani Road Bijapur 586102,586102,
Dr Bidaris Ashwini Hospital Bijapur,16.8401468,75.7150255,Vijayapura,B L D E Road Bijapur,586103,
Sanjeevini Superspeciality Hospital,16.8444243,75.7029522,Vijayapura,Sanjeevini Superspeciality Hospital Near Rns Motors Darga Jail Cross Solapur Road Bijapur 586103,586103,
Blde University Shri Bm Patil Medical College Hosp,16.8447464,75.7120385,Vijayapura,Blde University Shri Bm Patil Medical College Hosp Bangramma Sajjan Campus Ashram Road Bijapur 586103,586103,
Tanga Hospital,16.8402696,75.7029387,Vijayapura,A 89 Bahavasarnagar Jail Darga Road Bijapur 586103,586103,
ANNAPURNA MULTI SPECIALTY HOSPITAL,16.8280803,75.7078455,Vijayapura,OPPOSITE KARIGOUDAR LABORATORY GODBOLE MALA TAJ BAVADI ROAD VIJAYAPURA,586104,
Vaibhav orthopaedic And Dental Care Hospital,16.8281138,75.7280715,Vijayapura,Mukund Nagar Station Road Near Madhuvan Hotel,586104,
Bijapur Kidney Foundation,16.8589936,75.7129946,Vijayapura,Bijapur Kidney Foundation Near Mugalkhod Math Solapur Road Bijapur 586101,586104,
alnabi hospital,16.822708,75.728637,Vijayapura,Near Zandakatta J M Road Vijaypur,586104,
Mudhol Hospital,16.824932,75.7373267,Vijayapura,Allapur Base JM Road Bijapur,586104,
Choudhari Hospital,16.8303392,75.727136,Vijayapura,Choudhari Hospital Near Lic Office Shikarkhana Road Bijapur 586104,586104,
Al Ameen Medical College Hospital,16.8235948,75.6663354,Vijayapura,Al Ameen Medical College Hospital Al Ameen Campus Athani Road Vijayapur 586108,586108,
Shri Bhagyavanti Multispeciality Hospital And Rc,16.8002282,75.730137,Vijayapura,Shri Bhagyavanti Multispeciality Hospital And Rc 8 16 Mallikarjun Nagar Near Ganesh Nagar Bus Stop Bijapur 586109,586109,
SHRI SAI HOSPITAL,16.7982386,75.7321557,Vijayapura,32 33 VIJAYPUR BENGALURU HIGHWAY JUNCTION,586109,
DR G R BHAT HOSPITAL TALIKOT,16.4734522,76.3070861,Vijayapura,Dr G R BHAT M G Road Opp Town Municipal Corporation Talikote,586214,
